#{"t_start": 1745836911.2286165, "env_id": "None"}
r,l,t
-113.552116,24,23.47473
-84.666718,24,23.527158
-77.646375,24,23.583709
-79.407574,24,23.653311
-67.42444,24,23.73732
-89.552763,24,23.793325
-64.838619,24,23.872329
-67.42444,24,23.947846
-407.13096,24,24.063858
-431.900046,24,24.11386
-356.101298,24,24.157863
-502.651793,24,24.204871
-408.033309,24,24.252158
-515.230353,24,24.315855
-626.864081,24,24.372753
-437.607058,24,24.431963
-287.322102,24,24.483603
-328.549257,24,24.549681
-471.87712,24,24.595199
-487.101758,24,24.633622
-383.691631,24,24.678988
-606.209799,24,24.718752
-301.904997,24,24.757609
-340.647051,24,24.796043
-511.610809,24,24.834271
-499.827882,24,24.887356
-426.712155,24,24.962644
-517.743903,24,25.037884
59.0112,24,25.115313
65.6928,24,25.160797
57.7728,24,25.198599
59.0112,24,25.238543
53.712,24,25.29087
41.976,24,25.340302
37.728,24,25.385855
48.4848,24,25.433939
61.488,24,25.483368
39.8304,24,25.534723
70.0416,24,25.578903
43.4448,24,25.614615
55.4112,24,25.656362
61.488,24,25.699973
38.4192,24,25.738611
38.9376,24,25.780853
36.648,24,25.831179
51.552,24,25.88921
52.1712,24,25.956657
51.0912,24,25.996099
41.904,24,26.061758
39.168,24,26.114301
54.2736,24,26.152624
39.528,24,26.194843
39.7728,24,26.230075
56.9232,24,26.27132
64.6128,24,26.349599
103.2192,24,26.409703
42.1632,24,26.454925
51.552,24,26.50924
36.648,24,26.559941
74.7072,24,26.609369
47.1312,24,26.65522
39.168,24,26.697108
46.728,24,26.739434
71.208,24,26.776865
44.6112,24,26.824185
85.4496,24,26.875651
43.2,24,26.939907
65.7648,24,26.985049
38.8368,24,27.092991
-396.325341,24,27.153
-114.817135,24,27.223004
-153.753405,24,27.317476
14.277227,24,27.397482
-129.497159,24,27.457489
38.088,24,27.509004
44.1216,24,27.556346
28.8943,24,27.604204
47.52,24,27.667567
49.392,24,27.760805
25.101124,24,27.84271
49.5216,24,27.919083
59.1984,24,28.003088
38.3184,24,28.094099
27.559519,24,28.210107
4.68,24,28.282111
-39.844577,24,28.360119
-208.609825,24,28.428124
51.9552,24,28.515132
93.0672,24,28.615139
9.144,24,28.663806
25.4448,24,28.721206
82.7712,24,28.771868
51.9552,24,28.824546
57.168,24,28.925584
38.3184,24,29.00352
54.8352,24,29.061021
52.848,24,29.110419
34.0416,24,29.149415
53.1072,24,29.211926
63.6192,24,29.261066
39.4992,24,29.311269
67.5648,24,29.362072
60.4368,24,29.411389
38.9376,24,29.467507
38.088,24,29.516046
34.7904,24,29.573598
40.464,24,29.632815
47.52,24,29.691425
61.416,24,29.7752
43.8768,24,29.877209
