time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
88,2112,42.69359851136364,32,24.0,64,2011,140.19073486328125,0.0003,-4.765171051025391,1.817336082458496,640.7685546875
92,2208,41.46966444565217,32,24.0,67,2107,153.17588806152344,0.0003,-5.067318916320801,1.865679383277893,564.3365478515625
96,2304,41.18491846875,32,24.0,70,2203,154.7399139404297,0.0003,-5.466287612915039,1.9159470796585083,711.4600219726562
100,2400,40.71844246999999,32,24.0,73,2299,165.1024932861328,0.0003,-5.8016357421875,1.9665848016738892,637.328857421875
104,2496,46.454419259999995,32,24.0,76,2395,168.99195861816406,0.0003,-5.477991104125977,2.0177505016326904,659.545654296875
108,2592,46.09073010000001,32,24.0,79,2491,172.80564880371094,0.0003,-5.2576422691345215,2.068277597427368,762.1138916015625
112,2688,44.18845305,32,24.0,82,2587,180.90306091308594,0.0003,-4.471449851989746,2.12064266204834,1481.6502685546875
116,2784,43.416210629999995,32,24.0,86,2683,182.86300659179688,0.0003,-5.91722297668457,2.1727795600891113,882.5419311523438
120,2880,41.35341141,32,24.0,89,2779,191.16668701171875,0.0003,-6.113044738769531,2.2265775203704834,1122.923583984375
124,2976,38.75334357,32,24.0,92,2875,197.54119873046875,0.0003,-5.9523606300354,2.281191110610962,706.5972900390625
128,3072,37.37609548,31,24.0,96,2971,203.76251220703125,0.0003,-6.842850208282471,2.3360745906829834,872.03369140625
132,3168,36.10357062,31,24.0,100,3067,207.31146240234375,0.0003,-5.977572917938232,2.3942246437072754,1547.513671875
136,3264,35.85384018,31,24.0,104,3163,215.11215209960938,0.0003,-5.2808003425598145,2.455179452896118,1775.0274658203125
140,3360,33.091306450000005,31,24.0,108,3259,223.61410522460938,0.0003,-5.904295921325684,2.514359474182129,2113.90380859375
144,3456,30.878875830000002,30,24.0,111,3355,227.48333740234375,0.0003,-6.512903690338135,2.5758328437805176,2066.046875
148,3552,29.41034206,30,24.0,114,3451,233.1978759765625,0.0003,-6.292481899261475,2.639892101287842,1630.05029296875
152,3648,26.882985790000003,30,24.0,117,3547,239.69448852539062,0.0003,-6.136341094970703,2.7060911655426025,1996.5302734375
156,3744,22.84249981,30,24.0,121,3643,246.1820831298828,0.0003,-5.483673572540283,2.7758474349975586,2405.201416015625
160,3840,19.98984758,30,24.0,125,3739,249.9663848876953,0.0003,-6.547789573669434,2.8443267345428467,1784.330078125
164,3936,18.67246157,30,24.0,128,3835,256.88543701171875,0.0003,-6.1163177490234375,2.915693521499634,2390.07861328125
168,4032,16.884217709999994,30,24.0,132,3931,269.0066223144531,0.0003,-7.668686866760254,2.9900829792022705,1288.6953125
172,4128,15.691907829999998,30,24.0,135,4027,276.9140930175781,0.0003,-6.808089733123779,3.0656702518463135,1875.01708984375
176,4224,11.19402165,30,24.0,139,4123,278.181884765625,0.0003,-6.608260154724121,3.1444718837738037,2056.416015625
180,4320,9.967609349999998,30,24.0,142,4219,279.00616455078125,0.0003,-7.4390411376953125,3.2254865169525146,3061.722900390625
184,4416,8.47945766,30,24.0,146,4315,302.1606750488281,0.0003,-7.531282424926758,3.3098554611206055,2128.63525390625
188,4512,6.41061186,30,24.0,149,4411,297.46734619140625,0.0003,-7.281493186950684,3.3958187103271484,1936.428466796875
192,4608,5.004772239999999,30,24.0,153,4507,305.64892578125,0.0003,-6.424384593963623,3.480647563934326,3869.50244140625
196,4704,1.3917453400000002,30,24.0,156,4603,323.1819152832031,0.0003,-8.045869827270508,3.5689799785614014,2570.69775390625
200,4800,0.13531946000000056,30,24.0,159,4699,324.9774169921875,0.0003,-7.7933526039123535,3.6603176593780518,3987.94482421875
204,4896,-1.6029257899999998,29,24.0,163,4795,330.5362854003906,0.0003,-8.287485122680664,3.753891944885254,3724.55078125
208,4992,-3.1044899000000004,29,24.0,166,4891,337.8961181640625,0.0003,-6.703793048858643,3.8473494052886963,2803.400146484375
212,5088,-5.3452125000000015,29,24.0,170,4987,344.55706787109375,0.0003,-8.966592788696289,3.9465653896331787,3714.222900390625
216,5184,-6.7070039800000005,29,24.0,173,5083,356.5761413574219,0.0003,-8.655067443847656,4.048091888427734,3025.409912109375
220,5280,-9.07739562,29,24.0,176,5179,358.93017578125,0.0003,-7.262508869171143,4.153302192687988,3110.3095703125
224,5376,-9.414295610000002,29,24.0,180,5275,370.3919982910156,0.0003,-8.332344055175781,4.261630535125732,5154.810546875
228,5472,-11.510467120000001,29,24.0,183,5371,367.63616943359375,0.0003,-7.139355182647705,4.371371746063232,6154.7724609375
232,5568,-14.405313699999999,29,24.0,186,5467,381.0375671386719,0.0003,-7.894253730773926,4.486117362976074,5079.5654296875
236,5664,-17.319181930000003,29,24.0,190,5563,392.13629150390625,0.0003,-8.390300750732422,4.609428882598877,4979.86474609375
