#{"t_start": 1745855726.9573295, "env_id": "None"}
r,l,t
44.064,24,203.893852
45.4464,24,204.66472
58.884622,24,205.428653
51.7536,24,206.185759
56.0736,24,206.936323
84.925419,24,207.942161
47.201209,24,208.723266
137.985149,24,209.492262
32.919459,24,210.259168
108.010129,24,211.053032
65.2752,24,211.822908
157.043959,24,212.589286
102.811382,24,213.37096
68.790197,24,214.12605
105.113083,24,214.880438
55.4112,24,215.674546
56.9232,24,216.447743
43.6896,24,217.213466
95.394105,24,217.973187
55.2096,24,218.750986
37.603216,24,219.50172
58.1328,24,220.246123
78.787156,24,221.028579
54.1008,24,221.80229
49.942385,24,222.555897
108.903672,24,223.329822
59.0112,24,224.12358
47.4768,24,224.88805
54.432,24,225.630888
55.387386,24,226.406391
79.904432,24,227.186757
56.5632,24,227.930733
53.9568,24,228.693739
85.4496,24,229.48063
78.48551,24,230.340886
56.417137,24,231.13153
39.731242,24,231.877324
72.8064,24,232.650602
53.8416,24,233.456998
42.28787,24,234.230332
53.9856,24,235.035777
77.1241,24,235.829402
56.2608,24,236.589169
48.452483,24,237.421054
71.939845,24,238.16432
87.696,24,238.923412
71.982865,24,239.691312
52.5888,24,240.4366
56.9376,24,241.207063
91.904136,24,241.966655
51.0768,24,242.78705
65.434481,24,243.560548
83.952,24,244.343143
82.315864,24,245.104326
42.918935,24,245.868736
103.2192,24,246.629857
59.0112,24,247.391376
42.618744,24,248.151447
43.683973,24,248.900258
58.2768,24,249.684675
56.7936,24,250.46169
55.4832,24,251.263918
55.3824,24,252.022417
125.281245,24,252.792191
53.424,24,253.571246
51.48828,24,254.337399
56.7504,24,255.08754
48.330105,24,255.860644
39.703138,24,256.611498
65.991227,24,257.373399
45.4464,24,258.132649
70.0416,24,258.901653
57.6288,24,259.699276
67.919663,24,260.460315
68.9472,24,261.233054
68.775382,24,261.997457
55.7568,24,262.729119
53.9856,24,263.470815
51.1632,24,264.230735
53.606609,24,264.978113
41.2416,24,265.735725
61.930876,24,266.49873
49.0608,24,267.261381
54.2736,24,268.283986
45.4464,24,269.048304
138.404652,24,269.811634
83.952,24,270.577546
60.9408,24,271.354721
57.168,24,272.127999
56.7936,24,272.892171
64.0944,24,273.677492
104.375974,24,274.439141
40.527134,24,275.198906
43.1856,24,275.957334
56.1744,24,276.779024
59.8464,24,277.525673
51.7536,24,278.278146
56.2752,24,279.02644
55.866311,24,279.7756
83.5056,24,280.561668
98.57793,24,281.333072
61.488,24,282.109031
79.131153,24,282.937656
47.0304,24,283.69857
55.1952,24,284.456456
57.9888,24,285.220895
64.286788,24,285.951277
52.5888,24,286.716759
51.7104,24,287.4802
130.432181,24,288.242632
61.8048,24,289.000443
120.396456,24,289.764277
92.902438,24,290.515127
135.12576,24,291.270257
57.024,24,292.026655
127.480511,24,292.798685
58.2768,24,293.572593
51.0768,24,294.307017
53.424,24,295.06337
46.6416,24,295.826909
57.744,24,296.594984
93.383388,24,297.357482
39.380211,24,298.133723
61.416,24,298.896437
54.281052,24,299.668024
98.027306,24,300.42514
53.199082,24,301.336681
71.853368,24,302.112108
38.847769,24,302.891407
83.736,24,303.648756
52.132963,24,304.437634
40.353166,24,305.233057
103.2192,24,305.99532
59.112,24,306.768111
42.630447,24,307.524742
56.2752,24,308.278541
50.1264,24,309.0371
59.1984,24,309.804401
54.6192,24,310.606215
65.472685,24,311.373957
56.713789,24,312.119748
41.493528,24,312.912444
57.9888,24,313.693852
70.144363,24,314.464921
89.996038,24,315.213284
77.752414,24,315.9832
49.881776,24,316.761551
82.9584,24,317.519304
45.311728,24,318.284552
93.908588,24,319.048202
127.928696,24,319.866979
95.421698,24,320.620682
55.4112,24,321.361181
72.8064,24,322.133304
57.456,24,322.906698
39.052089,24,323.660017
34.962103,24,324.403267
71.61175,24,325.13793
39.697145,24,325.898343
65.81253,24,326.650207
45.611291,24,327.401939
46.01183,24,328.413687
39.211646,24,329.190948
69.161399,24,329.920705
108.28168,24,330.680093
41.576028,24,331.416075
76.136631,24,332.183228
57.126783,24,332.96733
47.925926,24,333.733536
85.14333,24,334.507354
81.9936,24,335.283738
56.7504,24,336.037523
49.82358,24,336.797777
54.673604,24,337.568511
62.9856,24,338.354854
78.779979,24,339.096687
59.0112,24,339.881379
60.371466,24,340.672399
44.328925,24,341.452202
83.03965,24,342.226832
93.470388,24,343.002825
68.784987,24,343.780959
86.431366,24,344.563331
123.990266,24,345.342055
71.893933,24,346.086585
65.2752,24,346.859076
94.559554,24,347.665668
52.583897,24,348.442639
93.7068,24,349.220274
79.9776,24,350.008736
74.148431,24,350.77532
64.195553,24,351.544379
100.819927,24,352.319321
86.428905,24,353.092083
54.8352,24,353.889062
51.945894,24,354.678225
60.029866,24,355.449785
64.0944,24,356.196677
61.767315,24,356.978925
52.158325,24,357.759156
70.538695,24,358.524417
57.861402,24,359.281391
45.219028,24,360.03821
59.1984,24,360.777463
64.077803,24,361.510598
131.226306,24,362.279011
75.954363,24,363.04794
49.4362,24,363.889257
51.552,24,364.679824
53.089921,24,365.445725
37.87931,24,366.186404
56.2752,24,366.961951
57.6288,24,367.721522
36.421046,24,368.495691
117.652766,24,369.2781
45.08921,24,370.176092
99.916701,24,371.017182
55.219458,24,371.805555
127.686832,24,372.588256
57.9888,24,373.378834
54.8352,24,374.166298
86.625669,24,374.92666
31.079812,24,375.703314
45.286729,24,376.46737
54.9936,24,377.236949
103.439346,24,377.965349
96.0336,24,378.727252
90.485783,24,379.475322
64.656375,24,380.281639
48.023204,24,381.026878
53.0099,24,381.790042
61.416,24,382.541252
81.42443,24,383.298341
55.1232,24,384.064985
51.296822,24,384.819326
54.2736,24,385.566127
59.53781,24,386.335903
77.7168,24,387.088668
66.517728,24,388.040082
68.369851,24,388.868664
86.101123,24,389.627408
59.402627,24,390.423676
52.097061,24,391.306596
56.5632,24,392.124151
44.937887,24,393.008879
43.159369,24,393.963828
69.8544,24,394.797622
38.757992,24,395.56764
46.684257,24,396.310724
59.780183,24,397.052996
79.9776,24,397.811441
63.49133,24,398.586017
50.193014,24,399.358116
57.6288,24,400.113978
96.900419,24,400.887727
123.688461,24,401.703856
61.607641,24,402.531722
53.957617,24,403.289464
53.712,24,404.047961
65.097998,24,404.79761
55.3824,24,405.546656
104.065713,24,406.313013
69.264,24,407.064722
40.551697,24,407.818597
69.1344,24,408.580098
85.741013,24,409.345388
66.8016,24,410.110786
42.721988,24,410.867444
65.355186,24,411.642498
79.9776,24,412.415087
54.471183,24,413.204309
84.58048,24,413.98314
56.279321,24,414.739183
60.1632,24,415.49368
43.827984,24,416.281316
43.237847,24,417.023438
106.392685,24,417.790495
49.506061,24,418.559643
76.279383,24,419.32249
10.546237,24,420.070888
51.049822,24,420.852473
62.375399,24,421.625286
54.171139,24,422.439505
51.256832,24,423.182441
69.8544,24,423.951487
83.072825,24,424.728579
47.916406,24,425.493374
37.818649,24,426.239908
64.0944,24,426.988333
52.440674,24,427.742749
45.984071,24,428.527444
62.017193,24,429.290824
43.991255,24,430.030507
40.956947,24,430.812169
56.2752,24,431.615653
44.672633,24,432.427193
118.424728,24,433.341314
87.520777,24,434.088603
59.0112,24,434.892161
39.179588,24,435.662903
75.10935,24,436.405029
126.631538,24,437.161072
55.556032,24,437.951317
86.439245,24,438.723615
69.8544,24,439.47928
55.2096,24,440.292437
67.709127,24,441.077676
49.68,24,441.832093
70.547026,24,442.592581
58.9968,24,443.36758
56.206805,24,444.148246
78.118236,24,444.926202
61.4448,24,445.664765
72.485449,24,446.437958
89.160775,24,447.165174
62.597259,24,448.057427
52.008559,24,448.948284
126.967103,24,449.716927
102.379343,24,450.483333
70.001964,24,451.241939
60.4368,24,452.048447
42.877876,24,452.814058
67.7232,24,453.601563
96.0336,24,454.393221
86.53677,24,455.171732
44.158784,24,455.924361
56.2608,24,456.708592
132.992572,24,457.469846
73.378289,24,458.221688
48.585258,24,458.977083
59.1984,24,459.761981
53.958314,24,460.490969
96.288706,24,461.243028
94.824801,24,462.008268
89.353857,24,462.777985
62.647432,24,463.560929
135.663361,24,464.357998
56.454012,24,465.128931
53.662173,24,465.902397
87.6096,24,466.717145
83.952,24,467.493621
92.0592,24,468.264796
87.696,24,469.072221
80.259667,24,469.839653
52.579545,24,470.628864
46.874096,24,471.386457
92.124758,24,472.157588
58.236405,24,472.947965
57.6288,24,473.742715
60.14673,24,474.534746
101.538049,24,475.313741
90.493779,24,476.077026
56.5632,24,476.832711
52.967602,24,477.625634
53.3664,24,478.395956
96.0336,24,479.159537
53.712,24,479.901655
72.472723,24,480.659572
93.761756,24,481.452201
49.805691,24,482.220219
62.901759,24,482.99019
47.287746,24,483.749708
71.25025,24,484.516139
59.709456,24,485.290048
55.1952,24,486.075049
66.633956,24,486.823183
87.696,24,487.628082
84.384293,24,488.397444
50.925511,24,489.153915
133.220289,24,489.911945
-11.343315,24,490.727477
55.2096,24,491.497866
50.066203,24,492.291689
74.120138,24,493.067548
79.9488,24,493.846166
52.219157,24,494.600635
93.996351,24,495.390938
72.8064,24,496.175821
53.765468,24,496.947129
84.384,24,497.823168
115.80257,24,498.586699
51.065679,24,499.336771
55.385926,24,500.136664
162.074311,24,500.931709
142.011003,24,501.66642
62.887424,24,502.444101
72.542573,24,503.248614
93.0672,24,504.049928
84.743518,24,504.80352
83.653303,24,505.565943
83.736,24,506.334857
113.794864,24,507.152749
53.147366,24,508.01343
44.007475,24,508.946725
44.65952,24,509.680016
70.960471,24,510.445097
54.0,24,511.178013
49.027103,24,511.928525
57.302263,24,512.6723
40.841649,24,513.448526
59.902199,24,514.199323
64.0944,24,514.951387
59.1984,24,515.726381
84.384,24,516.492166
51.409565,24,517.246816
56.1744,24,518.008636
83.736,24,518.789116
43.487936,24,519.529795
120.564273,24,520.296014
-17.060203,24,521.052688
90.243483,24,521.827904
79.206758,24,522.578406
48.070166,24,523.341335
53.712,24,524.084735
38.010806,24,524.836229
