time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
292,7008,62.03505410000002,31,24.0,223,6907,-7.768808364868164,0.0003,-0.6831998825073242,0.18866552412509918,8.343656539916992
296,7104,62.30128031,31,24.0,226,7003,-6.511058330535889,0.0003,-0.6112554669380188,0.18337520956993103,45.575035095214844
300,7200,63.241562259999995,31,24.0,229,7099,-6.571984767913818,0.0003,-0.3908030390739441,0.1793464720249176,4.7511982917785645
304,7296,63.42377315000001,31,24.0,232,7195,-5.353143692016602,0.0003,-0.6428185701370239,0.17478235065937042,13.014043807983398
308,7392,63.89386084999999,31,24.0,235,7291,-9.356916427612305,0.0003,-0.23541271686553955,0.17065423727035522,38.59675216674805
312,7488,64.13730412999999,31,24.0,238,7387,-10.429373741149902,0.0003,-0.5719613432884216,0.16703692078590393,6.386260032653809
316,7584,64.70754394000001,31,24.0,241,7483,-7.392545223236084,0.0003,-0.5743001699447632,0.16307681798934937,13.546758651733398
320,7680,64.80650289,31,24.0,245,7579,-7.969962120056152,0.0003,-0.30639341473579407,0.15943823754787445,12.018171310424805
324,7776,65.05193938000001,31,24.0,248,7675,-8.625971794128418,0.0003,-0.608554482460022,0.1556955873966217,7.469673156738281
328,7872,64.57671669999999,31,24.0,251,7771,-7.264267921447754,0.0003,-0.4584706425666809,0.1524466872215271,14.65467357635498
332,7968,65.23378778000001,31,24.0,254,7867,-11.94626235961914,0.0003,-0.4685616195201874,0.14952121675014496,9.764459609985352
336,8064,64.86124068,31,24.0,257,7963,-5.991059303283691,0.0003,-0.9250069856643677,0.14615297317504883,9.636136054992676
340,8160,64.97236953999999,31,24.0,260,8059,-8.004035949707031,0.0003,-0.5562529563903809,0.143700510263443,11.017663955688477
344,8256,64.8557619,31,24.0,263,8155,-7.805257797241211,0.0003,-0.3912096321582794,0.14077676832675934,5.093413352966309
348,8352,64.33914429000001,31,24.0,266,8251,-11.025007247924805,0.0003,-0.03730614483356476,0.1381622552871704,6.5750346183776855
352,8448,64.79265290000001,31,24.0,269,8347,-5.7001566886901855,0.0003,-0.4137323796749115,0.13627982139587402,8.707120895385742
356,8544,65.1399809,31,24.0,272,8443,-5.708269119262695,0.0003,-0.605345606803894,0.133855938911438,4.985570907592773
360,8640,65.29440842999999,31,24.0,275,8539,-8.575164794921875,0.0003,-0.32696619629859924,0.13119563460350037,7.174027442932129
364,8736,64.85128030000001,31,24.0,278,8635,-8.791560173034668,0.0003,-0.4292674958705902,0.1290864497423172,6.678867340087891
368,8832,65.34797871,31,24.0,282,8731,-7.443718433380127,0.0003,-0.343309223651886,0.1265171617269516,5.054730415344238
372,8928,65.22506183,31,24.0,285,8827,-6.865762710571289,0.0003,-0.3503405451774597,0.12467055022716522,7.322160720825195
376,9024,64.95408406,31,24.0,288,8923,-10.571569442749023,0.0003,-0.37404513359069824,0.12273189425468445,11.688189506530762
380,9120,65.11717122,31,24.0,291,9019,-8.673758506774902,0.0003,-0.41988977789878845,0.12070705741643906,28.961841583251953
384,9216,65.44438149999999,31,24.0,294,9115,-6.829516410827637,0.0003,-0.41098544001579285,0.1190652996301651,6.559108734130859
388,9312,65.49291416999999,31,24.0,297,9211,-6.7621355056762695,0.0003,-0.5673311948776245,0.1179400309920311,14.139484405517578
392,9408,65.10661973,31,24.0,300,9307,-9.713817596435547,0.0003,-0.10609065741300583,0.11652975529432297,9.767316818237305
