#{"t_start": 1745789681.3433535, "env_id": "None"}
r,l,t
85.4496,24,5.616426
43.0992,24,5.636643
54.8352,24,5.654734
34.0416,24,5.674787
56.2032,24,5.693789
61.632,24,5.715262
72.8064,24,5.735857
44.5536,24,5.757332
56.376,24,5.779333
54.072,24,5.802336
74.1888,24,5.825475
93.0672,24,5.851485
39.5568,24,5.871943
38.9376,24,5.888569
47.0304,24,5.912494
54.6192,24,5.940417
64.2816,24,5.977448
53.9856,24,6.012014
40.0176,24,6.039147
58.2768,24,6.056149
-45.710695,24,6.100154
-78.529935,24,6.117153
-104.611573,24,6.134154
-45.693214,24,6.157715
-85.357835,24,6.178861
-59.914327,24,6.199115
-45.693214,24,6.220358
-115.571553,24,6.237995
-55.629655,24,6.261786
-48.739357,24,6.280449
-75.781527,24,6.305201
-57.230594,24,6.325485
-87.258735,24,6.34373
-77.942894,24,6.361274
-72.865619,24,6.379215
-73.678712,24,6.395698
-54.294038,24,6.412864
-60.125091,24,6.435659
-51.144619,24,6.456673
-34.857009,24,6.473673
44.6112,24,6.513678
47.5344,24,6.553856
64.4832,24,6.584861
44.568,24,6.605374
41.2416,24,6.630134
54.6768,24,6.653514
39.4992,24,6.687728
79.9488,24,6.718732
54.72,24,6.74253
40.032,24,6.770546
67.5648,24,6.806526
38.3184,24,6.832971
41.7312,24,6.857242
69.1344,24,6.885159
47.8944,24,6.910892
44.9856,24,6.938734
39.8304,24,6.960505
41.832,24,6.985507
53.8128,24,7.005509
57.6288,24,7.02251
-66.670341,24,7.062359
-71.080075,24,7.079358
-70.844599,24,7.096359
-63.992756,24,7.11336
-74.680733,24,7.131361
-89.074258,24,7.150363
-55.189464,24,7.168364
-54.288981,24,7.189706
-61.727898,24,7.210803
-79.71599,24,7.232287
-93.474904,24,7.251647
-83.951173,24,7.268529
-65.721221,24,7.292413
-77.229973,24,7.317526
-58.041165,24,7.337654
-77.000457,24,7.362503
-67.42444,24,7.383791
-60.016442,24,7.41315
-77.646375,24,7.439052
-63.887991,24,7.466159
-126.630541,24,7.511494
-59.324345,24,7.53904
-89.298204,24,7.568931
-74.687785,24,7.597434
-122.005475,24,7.623501
-68.851657,24,7.647741
-53.63409,24,7.668505
-78.894764,24,7.689595
-92.529338,24,7.707248
-52.389988,24,7.727025
-78.359441,24,7.744593
-16.408759,24,7.764653
-59.219655,24,7.783026
-107.108898,24,7.805882
-91.258632,24,7.824007
-211.213363,24,7.840839
-89.02308,24,7.859527
-107.108898,24,7.876433
-161.860003,24,7.894051
-99.775978,24,7.914435
-325.362313,24,7.968313
-127.698724,24,7.986611
-323.999758,24,8.009866
-468.272757,24,8.033128
-377.845282,24,8.053344
-498.289619,24,8.078992
-422.839428,24,8.102994
-356.974299,24,8.122995
-82.181897,24,8.140997
-440.14326,24,8.158998
-431.404614,24,8.182393
-360.364556,24,8.205686
-102.914123,24,8.225186
-509.351819,24,8.243186
-472.843406,24,8.259188
-324.737681,24,8.27619
-362.183449,24,8.295192
-423.376783,24,8.312192
-468.91484,24,8.329193
-507.522119,24,8.346195
40.32,24,8.382199
49.68,24,8.403983
59.1984,24,8.433229
41.4576,24,8.455212
59.062333,24,8.478675
8.864909,24,8.497947
44.352,24,8.522681
33.5952,24,8.554945
-419.828618,24,8.584528
68.2416,24,8.60456
51.7104,24,8.624893
46.7568,24,8.643832
-41.401204,24,8.662055
43.2,24,8.683059
21.3264,24,8.702566
38.2464,24,8.724128
35.2368,24,8.743129
41.7312,24,8.76354
38.9232,24,8.795243
59.112,24,8.822757
66.50457,24,8.873635
-24.908191,24,8.899636
45.36177,24,8.927862
-130.77667,24,8.953661
45.897393,24,8.978665
-65.003995,24,9.00001
56.7936,24,9.021379
66.6,24,9.040732
-110.336966,24,9.060352
-182.946027,24,9.077937
45.36177,24,9.09437
51.408,24,9.112849
-118.902055,24,9.13028
53.424,24,9.153106
83.736,24,9.188085
-80.401625,24,9.223087
60.9408,24,9.246089
66.8016,24,9.265091
-109.214269,24,9.281091
-33.445809,24,9.301092
-75.728449,24,9.33851
-72.000186,24,9.355512
-42.821559,24,9.372859
