rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef_loss
-95.83919975,24.0,4,1575,0,96,,,,,,
-26.742664625000003,24.0,8,67,2,192,1.0273867845535278,381.25653076171875,0.0003,8.297927856445312,91,-0.25157615542411804
-3.049857250000002,24.0,12,51,5,288,1.058150053024292,272.0662841796875,0.0003,11.155024528503418,187,-0.5304553508758545
9.603407062499997,24.0,16,44,8,384,1.089529037475586,98.46546936035156,0.0003,22.048568725585938,283,-0.8019120097160339
18.056485649999996,24.0,20,41,11,480,1.1216890811920166,57.04555130004883,0.0003,26.298423767089844,379,-1.0739295482635498
23.006071375000005,24.0,24,40,14,576,1.1547273397445679,59.257179260253906,0.0003,32.72116470336914,475,-1.3534704446792603
31.200918321428578,24.0,28,38,17,672,1.188658595085144,49.12370300292969,0.0003,39.761539459228516,571,-1.625084400177002
35.057903531250005,24.0,32,38,20,768,1.2235718965530396,74.20191955566406,0.0003,48.478965759277344,667,-1.8831110000610352
37.269780916666676,24.0,36,37,23,864,1.2594388723373413,149.018798828125,0.0003,52.35863494873047,763,-2.158888816833496
36.794684425,24.0,40,37,25,960,1.2933738231658936,108.92352294921875,0.0003,55.64202117919922,859,-2.313929557800293
36.871079818181826,24.0,44,36,28,1056,1.327043890953064,155.70095825195312,0.0003,62.29808044433594,955,-2.005753755569458
32.565316375,24.0,48,36,31,1152,1.3592263460159302,132.88726806640625,0.0003,66.85598754882812,1051,-2.5442731380462646
32.89971526923077,24.0,52,36,34,1248,1.3931390047073364,224.72268676757812,0.0003,69.85171508789062,1147,-2.3614084720611572
32.651446750000005,24.0,56,36,37,1344,1.4275606870651245,188.6568145751953,0.0003,76.29824829101562,1243,-2.747143507003784
28.726854033333336,24.0,60,35,40,1440,1.4625767469406128,253.88536071777344,0.0003,79.16133880615234,1339,-2.342428684234619
30.401196234375,24.0,64,35,42,1536,1.499503493309021,206.02984619140625,0.0003,83.33122253417969,1435,-2.692554473876953
31.024429617647055,24.0,68,35,45,1632,1.537630558013916,374.67462158203125,0.0003,88.33995056152344,1531,-3.186772108078003
30.66176222222222,24.0,72,35,48,1728,1.5765632390975952,314.9277648925781,0.0003,88.66365814208984,1627,-3.0281975269317627
31.779378960526316,24.0,76,35,51,1824,1.616053819656372,416.46337890625,0.0003,98.46501159667969,1723,-3.4600250720977783
29.616289462500003,24.0,80,35,54,1920,1.658596396446228,319.80426025390625,0.0003,101.38499450683594,1819,-3.649646759033203
29.613451988095242,24.0,84,35,57,2016,1.700886607170105,463.34637451171875,0.0003,105.19351196289062,1915,-3.742558002471924
30.341269375000003,24.0,88,35,60,2112,1.7450834512710571,639.571044921875,0.0003,103.89041900634766,2011,-3.568481206893921
32.07210454347826,24.0,92,35,62,2208,1.7892004251480103,413.7308044433594,0.0003,114.03738403320312,2107,-3.419705867767334
31.373128354166667,24.0,96,34,65,2304,1.8359943628311157,670.2962646484375,0.0003,118.05870056152344,2203,-4.479074001312256
32.78054198,24.0,100,34,68,2400,1.8858189582824707,897.62158203125,0.0003,119.67863464355469,2299,-3.886989116668701
34.725262640000004,24.0,104,34,71,2496,1.9330631494522095,509.04791259765625,0.0003,127.03478240966797,2395,-4.2024335861206055
34.22203333,24.0,108,34,74,2592,1.9825466871261597,725.0311279296875,0.0003,132.47647094726562,2491,-4.459724426269531
30.06410302,24.0,112,34,77,2688,2.0321993827819824,648.9156494140625,0.0003,137.1833953857422,2587,-4.345978736877441
27.782280699999998,24.0,116,34,80,2784,2.0843284130096436,903.4287719726562,0.0003,139.40301513671875,2683,-4.074729919433594
25.844178040000003,24.0,120,34,83,2880,2.1372439861297607,893.8748779296875,0.0003,135.53997802734375,2779,-5.102544784545898
23.846967760000002,24.0,124,34,85,2976,2.194777011871338,754.013916015625,0.0003,150.3093719482422,2875,-4.895661354064941
22.013945699999994,24.0,128,34,88,3072,2.25352144241333,782.005126953125,0.0003,157.0221710205078,2971,-4.4283576011657715
22.2124496,24.0,132,34,91,3168,2.3145532608032227,1214.085693359375,0.0003,157.68870544433594,3067,-5.439644813537598
21.481148190000003,24.0,136,34,94,3264,2.3766679763793945,1134.451171875,0.0003,168.7165985107422,3163,-6.427937030792236
20.23730815,24.0,140,34,97,3360,2.441215991973877,1197.959716796875,0.0003,174.30633544921875,3259,-5.092203617095947
21.49563524,24.0,144,34,100,3456,2.507197856903076,1414.448974609375,0.0003,180.625244140625,3355,-5.1372246742248535
22.869574309999997,24.0,148,34,103,3552,2.5721936225891113,1467.637939453125,0.0003,184.2948760986328,3451,-5.611836910247803
19.546808950000003,24.0,152,34,105,3648,2.637803077697754,798.3151245117188,0.0003,191.43360900878906,3547,-5.613317966461182
20.18661453,24.0,156,34,108,3744,2.7054946422576904,701.7674560546875,0.0003,196.3476104736328,3643,-5.015472888946533
20.202377260000002,24.0,160,34,111,3840,2.7760372161865234,2012.8673095703125,0.0003,200.9152069091797,3739,-5.389404773712158
18.8588948,24.0,164,34,114,3936,2.850154399871826,1854.646484375,0.0003,206.56045532226562,3835,-6.137730598449707
16.478123299999996,24.0,168,34,117,4032,2.9275870323181152,2091.7578125,0.0003,206.6044464111328,3931,-6.076085567474365
14.10444282,24.0,172,34,120,4128,3.003920793533325,1646.7080078125,0.0003,212.4406280517578,4027,-5.732080459594727
9.56771453,24.0,176,34,122,4224,3.0813143253326416,1686.5057373046875,0.0003,227.87608337402344,4123,-5.93795919418335
